Username,Paket Internet,Total Online (detik),Total Kuota (bytes),Nama Paket,Wilayah Pemasaran,Wilayah (Mapping Alamat),Kecepatan,Harga (Rp),Implicit Rating
pinang@agussetiawan,ACSPINANG 165,0.41302080656958645,0.048684210526315795,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.2308525085479511
pinang@akew,ACSPINANG 220,0.43580547899225813,0.10592105263157896,ACSPINANG 220,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",20.0,220000,0.27086326581191855
pinang@alwani,ACSPINANG 165,0.03555678797864512,0.009736842105263158,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.022646815041954142
pinang@amelia,ACSPINANG 165,0.23217267960364688,0.016710526315789474,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.12444160295971818
pinang@anindita,ACSPINANG 165,0.36447159753738906,0.01993421052631579,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu",,10.0,165000,0.19220290403185242
pinang@anisahnurjanah,ACSPINANG 220,0.42303391010005037,0.044868421052631585,ACSPINANG 220,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",20.0,220000,0.233951165576341
pinang@aripin.bolot,ACSPINANG 165,0.26753157529910704,0.02868421052631579,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.14810789291271143
pinang@arisetiawan,ACSPINANG 165,0.43222278133777364,0.09342105263157896,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.2628219169846763
pinang@arnold,ACSPINANG 165,0.08548987633372292,0.00044895521421052634,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.04296941577396672
pinang@arshakabuah,ACSPINANG 220,0.04279085792318062,0.009539473684210526,ACSPINANG 220,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",20.0,220000,0.026165165803695573
pinang@aryabima,ACSPINANG 165,0.42466631643741404,0.024539473684210528,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.22460289506081227
pinang@bundapena,ACSPINANG 165,0.4370252908524565,0.031578947368421054,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.23430211911043877
pinang@caca,ACSPINANG 165,0.4037109859737011,0.0861842105263158,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.24494759825000845
pinang@celsi,ACSPINANG 165,0.4352822534355084,0.07171052631578947,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.25349638987564893
pinang@cikal,ACSPINANG 165,0.3258684573913861,0.06842105263157895,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.19714475501148251
pinang@cindy,ACSPINANG 165,0.42535688943944,0.054144736842105266,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.23975081314077262
pinang@dawilarkum,ACSPINANG 165,0.43425944552987567,0.12171052631578949,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.2779849859228326
pinang@dedi,ACSPINANG 165,0.330644522046403,0.07236842105263158,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.20150647154951729
pinang@dewi,ACSPINANG 165,0.4325684778366109,0.06414473684210527,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.24835660733935808
pinang@dika,ACSPINANG 165,0.44631351822959653,0.10328947368421054,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu",,10.0,165000,0.2748014959569035
pinang@doni.rt,ACS Home 165,0.023605761398759507,0.0003491294015789474,ACS Home 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",10.0,165000,0.011977445400169227
pinang@dwi,ACSPINANG 165,0.4369541562299442,0.11447368421052632,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.2757139202202353
pinang@ebot,ACSPINANG 250,0.06958981904336027,0.011644736842105265,ACSPINANG 250,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",30.0,250000,0.04061727794273277
pinang@eenmaryati,ACSPINANG 165,0.3504083988327635,0.05026315789473685,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.20033577836375016
pinang@eriharianto.sdr,ACSPINANG 220,0.43658891650148307,0.06335526315789475,ACSPINANG 220,"Pinang, Pabuaran, Katomas, Leuwihalu",,20.0,220000,0.2499720898296889
pinang@evinurmala,ACS Home 250,0.4358850185701681,0.20131578947368423,ACS Home 250,"PWS, Sudirman, Tigaraksa","Pinang, Pabuaran, Katomas, Leuwihalu",30.0,250000,0.31860040402192613
pinang@faisal,ACSPINANG 165,0.0,0.0,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.0
pinang@faris,ACSPINANG 250,0.43696836948785256,0.8092105263157896,ACSPINANG 250,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",30.0,250000,0.6230894479018211
pinang@fazry,ACSPINANG 165,0.0,0.0,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.0
pinang@harianto,ACSPINANG 165,0.0,0.0,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.0
pinang@jaja,ACSPINANG 165,0.43694281295680587,0.05723684210526316,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu",,10.0,165000,0.2470898275310345
pinang@justin,ACSPINANG 220,0.43696836948785256,0.02230263157894737,ACSPINANG 220,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",20.0,220000,0.22963550053339996
pinang@mahelka,ACSPINANG 165,0.4303076131675994,0.0736842105263158,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.2519959118469576
pinang@mamaana,ACSPINANG 165,0.36426653029227923,0.06006578947368422,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.21216615988298174
pinang@marisa,ACSPINANG 165,0.340260884348907,0.052368421052631585,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.19631465270076928
pinang@meliyawati,ACSPINANG 165,0.43691274644969214,1.0,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.7184563732248461
pinang@miftah,ACSPINANG 165,0.43335806531320004,0.03986842105263158,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu",,10.0,165000,0.23661324318291582
pinang@miptah.jbl,ACSPINANG 165,0.43530780996655505,0.04802631578947369,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.24166706287801437
pinang@misna,ACSPINANG 165,0.4353578980340877,0.06907894736842106,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.2522184227012544
pinang@muslimat,ACSPINANG 165,0.02616790613564477,0.0020428263765789475,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.014105366256111859
pinang@nandariyan,ACSPINANG 165,0.4166084925309329,0.10986842105263159,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.26323845679178226
pinang@nasir,ACSPINANG 165,0.43681947194466886,0.2361842105263158,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.3365018412354923
pinang@nemiyati,ACSPINANG 165,0.4366421478856685,0.14934210526315791,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.2929921265744132
pinang@ninaroslina,ACSPINANG 165,0.4006813753841679,0.11184210526315791,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.2562617403236629
pinang@nuni,ACSPINANG 220,0.42371846980065353,0.04671052631578948,ACSPINANG 220,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",20.0,220000,0.2352144980582215
pinang@nurismawati,ACSPINANG 165,0.007302402915248529,9.697368421052633e-11,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.0036512015061111068
pinang@nurlaelah,ACSPINANG 165,0.008016892457024027,2.5605907894736847e-07,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.004008574258051487
pinang@ratushafira,ACSPINANG 220,0.43665806946784463,0.11973684210526317,ACSPINANG 220,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",20.0,220000,0.2781974557865539
pinang@relasman.sdr,ACSPINANG 165,0.447235193338574,0.03723684210526316,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.24223601772191858
pinang@rizal,ACSPINANG 165,0.39698948164248404,0.028881578947368425,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.21293553029492623
pinang@rofiatusofiah,ACSPINANG 165,0.43677034053872615,0.06046052631578948,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.2486154334272578
pinang@ruswana,ACSPINANG 330,0.06489589061914044,0.008157894736842105,ACSPINANG 330,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",50.0,330000,0.03652689267799127
pinang@saefulbahri,ACSPINANG 165,0.02649187274979527,0.01105263157894737,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.01877225216437132
pinang@santi,ACSPINANG 165,0.4172061326927891,0.029013157894736845,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.22310964529376298
pinang@setiadi,ACSPINANG 165,0.4080149381340616,0.04651315789473685,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.22726404801439923
pinang@silvi,ACSPINANG 165,0.43484471742403286,0.032565789473684215,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.23370525344885854
pinang@sitinurayu,ACSPINANG 165,0.432776825064315,0.06973684210526317,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.25125683358478906
pinang@srihandayani,ACSPINANG 165,0.0,0.0,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.0
pinang@suryadi,ACSPINANG 165,0.43705481069580454,0.05026315789473685,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.2436589842952707
pinang@syaifulbah,ACSPINANG 165,0.38185605195055095,0.0293421052631579,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.20559907860685442
pinang@tia,ACSPINANG 165,0.4356973762325901,0.05394736842105264,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.24482237232682136
pinang@wandaagustian,ACSPINANG 165,0.4367939837465929,0.8881578947368421,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.6624759392417175
pinang@yanikuntari,ACSPINANG 165,0.43650924025763166,0.07763157894736843,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,165000,0.25707040960250005
pinang@yayan,ACSPINANG 220,0.43689962651931524,0.0655263157894737,ACSPINANG 220,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",20.0,220000,0.25121297115439445
pinang@yolanda,ACSPINANG 165,0.4334507931544576,0.19276315789473686,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu","Pinang, Pabuaran, Katomas, Leuwihalu",10.0,165000,0.3131069755245972
putri@pws,ACS Lite 100,0.4614589745243751,0.049934210526315796,ACS Lite 100,"PWS, Sudirman, Tigaraksa",,4.0,100000,0.25569659252534543
pws@aggrk1sri21,ACS Lite 165,0.4690116811113455,0.06355263157894737,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.26628215634514646
pws@aggrk1yusnita22,ACS Lite 165,0.45172487451333254,0.050460526315789477,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.251092700414561
pws@ai23supri03,ACS Lite 150,0.47727874057415,0.02190789473684211,ACS Lite 150,"PWS, Sudirman, Tigaraksa",,10.0,150000,0.24959331765549606
pws@ai31anita19,ACS Lite 150,0.42432178159907896,0.03921052631578948,ACS Lite 150,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",10.0,150000,0.23176615395743422
pws@ai31hgani62,ACS Lite 165,0.44388120613706605,0.07500000000000001,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.259440603068533
pws@ai32hartono12a,ACS Lite 150,0.4995930088264331,0.022434210526315793,ACS Lite 150,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",10.0,150000,0.26101360967637444
pws@ai35hidayat12,ACS Lite 165,0.34349904716505636,0.10065789473684211,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.22207847095094924
pws@ai37hamas32,ACS Lite 165,0.44514495609743293,0.0586842105263158,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.2519145833118744
pws@ai37untung38,ACS Lite 165,0.48244512315787974,0.03427631578947369,ACS Lite 165,"PWS, Sudirman, Tigaraksa",,15.0,165000,0.2583607194736767
pws@aie10yadi03,ACS Lite 165,0.45178897083986136,0.10460526315789474,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.27819711699887806
pws@aj47suparmiati6,ACS Lite 150,0.49788987786438144,0.03671052631578948,ACS Lite 150,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",10.0,150000,0.2673002020900855
pws@akf4jonsen5,ACS Lite 165,0.4889439986705137,0.07500000000000001,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.28197199933525685
pws@alika,ACS Lite 165,0.4654578883034727,0.05026315789473685,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.2578605230991048
pws@apel2odi08,ACS Lite 150,0.4551923627791948,0.058618421052631584,ACS Lite 150,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",10.0,150000,0.25690539191591316
pws@asyikinai40_33,ACS Lite 165,0.0,0.0,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.0
pws@aze1helliza02,ACS Lite 220,0.0,0.0,ACS Lite 220,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",25.0,220000,0.0
pws@aze4alpha06,ACS Lite 165,0.44235054759309406,0.026644736842105266,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.23449764221759967
pws@aze6rosanna17,ACS Lite 220,0.0,0.0,ACS Lite 220,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",25.0,220000,0.0
pws@aze7lestari15,ACS Lite 165,0.4595742145261682,0.0861842105263158,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.272879212526242
pws@azisgaruda2,ACS Lite 165,0.49894739891913636,0.03901315789473685,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.2689802784069366
pws@bayueka,ACS Lite 165,0.4507862528276183,0.07565789473684212,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.2632220737822302
pws@bayupskaget,ACS Lite 165,0.4801167455138038,0.22631578947368422,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.353216267493744
pws@bel1ayub17,ACS Lite 150,0.5002002156041891,0.028289473684210528,ACS Lite 150,"PWS, Sudirman, Tigaraksa",,10.0,150000,0.26424484464419984
pws@bel1hanifah21,ACS Lite 150,0.4645140049790135,0.09078947368421053,ACS Lite 150,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",10.0,150000,0.277651739331612
pws@bel1indah20,ACS CONNECT 185,0.4191047642840508,0.04736842105263158,ACS CONNECT 185,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",20.0,185000,0.23323659266834118
pws@bel1ridho19,ACS Lite 165,0.44210940053944775,0.03342105263157895,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.23776522658551336
pws@belim1zeni18,ACS Lite 165,0.4568814171492796,0.02348684210526316,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.24018412962727137
pws@blklio_dlpiani,ACS Lite 165,0.4650842436196138,0.07171052631578947,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.26839738496770166
pws@blklio_hari,ACS Lite 100,0.44346280335739013,0.015263157894736843,ACS Lite 100,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",4.0,100000,0.2293629806260635
pws@chandraazelia7,ACS Lite 165,0.5001023627901281,0.05855263157894738,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.27932749718453775
pws@ciuimancukur03,ACS Lite 165,0.40012746832356805,0.03868421052631579,ACS Lite 165,"PWS, Sudirman, Tigaraksa",,15.0,165000,0.2194058394249419
pws@dah1xaverius20,ACS Lite 150,0.4484473519060525,0.04085526315789474,ACS Lite 150,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",10.0,150000,0.24465130753197362
pws@dediAIF9_6,ACS Lite 165,0.45439450701314943,0.08289473684210527,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.26864462192762734
pws@discy_aie7_3,ACS Lite 150,0.4576053366410135,0.06157894736842106,ACS Lite 150,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",10.0,150000,0.25959214200471725
pws@dur1deci09,ACS Lite 220,0.45235866281669596,0.05105263157894737,ACS Lite 220,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",25.0,220000,0.2517056471978217
pws@edymelati1,ACS Lite 165,0.9045356282642659,0.1256578947368421,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.5150967615005541
pws@encep,ACS Lite 165,0.44147069226219304,0.04671052631578948,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.24409060928899126
pws@fariedrjwl3_12,ACS Lite 150,0.0,0.0,ACS Lite 150,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",10.0,150000,0.0
pws@farizaj45_16,ACS Lite 165,0.23922669217035353,0.04296052631578948,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.14109360924307152
pws@gar3sukirman13,ACS Lite 165,0.029920274556409686,0.005634740766644737,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.017777507661527213
pws@hadri,ACS Lite 330,0.0,0.0,ACS Lite 330,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",50.0,330000,0.0
pws@istianah,ACS Lite 165,0.4723237802018064,0.06480263157894738,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.26856320589037685
pws@jer1nova,ACS Lite 165,0.22519991493911803,0.0027468518063157896,ACS Lite 165,"PWS, Sudirman, Tigaraksa",,15.0,165000,0.11397338337271691
pws@jonrajawali3_20,ACS Lite 150,0.5002681385770779,0.04875,ACS Lite 150,"PWS, Sudirman, Tigaraksa",,10.0,150000,0.2745090692885389
pws@lasijo,ACS Lite 130,0.9999999999999999,0.01973684210526316,ACS Lite 130,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",6.0,130000,0.5098684210526315
pws@lio_johan,ACS Lite 165,0.30878480471530295,0.016710526315789474,ACS Lite 165,"PWS, Sudirman, Tigaraksa",,15.0,165000,0.1627476655155462
pws@lio_juleha,ACS Lite 100,0.45491848423257697,0.05927631578947369,ACS Lite 100,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",4.0,100000,0.2570974000110253
pws@lio_suliyo,ACS Lite 100,0.28240711635956917,0.010131578947368422,ACS Lite 100,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",4.0,100000,0.1462693476534688
pws@mel1irman19,ACS Lite 165,0.37474689467647887,0.049802631578947376,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.21227476312771312
pws@mel1nilaaie1.03,ACS Lite 165,0.4812354929103176,0.07565789473684212,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.27844669382357984
pws@mel1siregar21,ACS Lite 330,0.4573945294263638,0.1105263157894737,ACS Lite 330,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",50.0,330000,0.28396042260791876
pws@mel2ema04,ACS Lite 165,0.48172325365526725,0.07302631578947369,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.2773747847223705
pws@mel2lislaeni24,ACS Lite 220,0.4879962886996946,0.0736842105263158,ACS Lite 220,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",25.0,220000,0.2808402496130052
pws@mel3irul26,ACS Home 165,0.09431671949260854,0.01598684210526316,ACS Home 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",10.0,165000,0.05515178079893585
pws@melati1_20,ACS Lite 130,0.0,0.0,ACS Lite 130,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",6.0,130000,0.0
pws@mfadlyjambu1,ACS Lite 165,0.4576277498554074,0.05328947368421053,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.25545861176980894
pws@mgs_pangkas,ACS Lite 165,0.4427569921028952,0.046250000000000006,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.2445034960514476
pws@mgsdika0303,ACS Lite 165,0.46342122411137066,0.07105263157894738,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.267236927845159
pws@mgssoleh0303,ACS Lite 165,0.46975719382182474,0.03914473684210527,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.254450965331965
pws@mumunpuspita,ACS Lite 330,0.5000621146703781,0.10592105263157896,ACS Lite 330,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",50.0,330000,0.3029915836509785
pws@nelamelati1_23,ACS Lite 165,0.0,0.0,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.0
pws@novitaanggur1_7,ACS Lite 165,0.41865137502336985,0.04440789473684211,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.23152963488010597
pws@nurmalia,ACS Lite 165,0.4409074235846055,0.04092105263157895,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.24091423810809223
pws@psciungtk_fira1,ACS Lite 150,0.4631052524547936,0.020789473684210528,ACS Lite 150,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",10.0,150000,0.24194736306950207
pws@putriayu,ACS Lite 165,0.49964309689396574,0.11710526315789475,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.30837418002593026
pws@ramaaif19_2,ACS Lite 150,0.0,0.0,ACS Lite 150,"PWS, Sudirman, Tigaraksa",,10.0,150000,0.0
pws@ramlirajawali3,ACS Lite 150,0.44267465087318597,0.055065789473684214,ACS Lite 150,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",10.0,150000,0.2488702201734351
pws@rifqidahlia2,ACS Lite 100,0.0,0.0,ACS Lite 100,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",4.0,100000,0.0
pws@ros3diky07,ACS Lite 165,0.4016699484714734,0.05026315789473685,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.22596655318310513
pws@rosalia3_3,ACS Lite 165,0.46523539615083104,0.02328947368421053,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.24426243491752078
